Date,RF
2004-01-31,0.0010333333333333334
2004-02-29,0.0010333333333333334
2004-03-31,0.0009916666666666665
2004-04-30,0.0011916666666666666
2004-05-31,0.0014833333333333332
2004-06-30,0.0017666666666666666
2004-07-31,0.00175
2004-08-31,0.0016833333333333333
2004-09-30,0.0017666666666666666
2004-10-31,0.0018583333333333334
2004-11-30,0.0020833333333333333
2004-12-31,0.002225
2005-01-31,0.0023833333333333332
2005-02-28,0.002525
2005-03-31,0.0027500000000000003
2005-04-30,0.002766666666666667
2005-05-31,0.002775
2005-06-30,0.0028
2005-07-31,0.0030333333333333336
2005-08-31,0.003225
2005-09-30,0.0032083333333333334
2005-10-31,0.003483333333333333
2005-11-30,0.003608333333333333
2005-12-31,0.0036249999999999998
2006-01-31,0.003708333333333334
2006-02-28,0.0038999999999999994
2006-03-31,0.003974999999999999
2006-04-30,0.004083333333333334
2006-05-31,0.004166666666666667
2006-06-30,0.0043
2006-07-31,0.00435
2006-08-31,0.004233333333333333
2006-09-30,0.004141666666666666
2006-10-31,0.004175
2006-11-30,0.004175
2006-12-31,0.004116666666666667
2007-01-31,0.004216666666666666
2007-02-28,0.004208333333333333
2007-03-31,0.0041
2007-04-30,0.004108333333333333
2007-05-31,0.004091666666666667
2007-06-30,0.0041333333333333335
2007-07-31,0.0041333333333333335
2007-08-31,0.0037249999999999996
2007-09-30,0.00345
2007-10-31,0.0034166666666666664
2007-11-30,0.002916666666666667
2007-12-31,0.0027166666666666663
2008-01-31,0.002258333333333333
2008-02-29,0.0017083333333333332
2008-03-31,0.0012833333333333334
2008-04-30,0.00145
2008-05-31,0.0017166666666666667
2008-06-30,0.0020166666666666666
2008-07-31,0.0018999999999999998
2008-08-31,0.0018166666666666667
2008-09-30,0.0015916666666666666
2008-10-31,0.0011833333333333333
2008-11-30,0.0008916666666666668
2008-12-31,0.0004083333333333333
2009-01-31,0.00036666666666666667
2009-02-28,0.0005166666666666667
2009-03-31,0.0005333333333333334
2009-04-30,0.0004583333333333334
2009-05-31,0.0004166666666666667
2009-06-30,0.00042500000000000003
2009-07-31,0.00039999999999999996
2009-08-31,0.00038333333333333334
2009-09-30,0.0003333333333333333
2009-10-31,0.00030833333333333337
2009-11-30,0.00025833333333333334
2009-12-31,0.00030833333333333337
2010-01-31,0.00029166666666666664
2010-02-28,0.00029166666666666664
2010-03-31,0.0003333333333333333
2010-04-30,0.00037500000000000006
2010-05-31,0.00030833333333333337
2010-06-30,0.0002666666666666667
2010-07-31,0.00024166666666666664
2010-08-31,0.00021666666666666666
2010-09-30,0.00021666666666666666
2010-10-31,0.00019166666666666667
2010-11-30,0.00020833333333333335
2010-12-31,0.00024166666666666664
2011-01-31,0.00022500000000000002
2011-02-28,0.00024166666666666664
2011-03-31,0.00021666666666666666
2011-04-30,0.00020833333333333335
2011-05-31,0.00015833333333333332
2011-06-30,0.00015
2011-07-31,0.00015833333333333332
2011-08-31,9.166666666666667e-05
2011-09-30,8.333333333333333e-05
2011-10-31,9.166666666666667e-05
2011-11-30,9.166666666666667e-05
2011-12-31,9.999999999999999e-05
2012-01-31,9.999999999999999e-05
2012-02-29,0.00013333333333333334
2012-03-31,0.00015833333333333332
2012-04-30,0.00015
2012-05-31,0.00015833333333333332
2012-06-30,0.00015833333333333332
2012-07-31,0.00015833333333333332
2012-08-31,0.00015
2012-09-30,0.00015
2012-10-31,0.00015
2012-11-30,0.00015
2012-12-31,0.00013333333333333334
2013-01-31,0.000125
2013-02-28,0.00013333333333333334
2013-03-31,0.000125
2013-04-30,9.999999999999999e-05
2013-05-31,9.999999999999999e-05
2013-06-30,0.00011666666666666668
2013-07-31,9.999999999999999e-05
2013-08-31,0.00010833333333333333
2013-09-30,9.999999999999999e-05
2013-10-31,9.999999999999999e-05
2013-11-30,9.999999999999999e-05
2013-12-31,0.00010833333333333333
2014-01-31,9.999999999999999e-05
2014-02-28,9.999999999999999e-05
2014-03-31,0.00010833333333333333
2014-04-30,9.166666666666667e-05
2014-05-31,8.333333333333333e-05
2014-06-30,8.333333333333333e-05
2014-07-31,9.166666666666667e-05
2014-08-31,9.166666666666667e-05
2014-09-30,9.166666666666667e-05
2014-10-31,8.333333333333333e-05
2014-11-30,0.00010833333333333333
2014-12-31,0.000175
2015-01-31,0.00016666666666666666
2015-02-28,0.00018333333333333334
2015-03-31,0.00020833333333333335
2015-04-30,0.00019166666666666667
2015-05-31,0.00019999999999999998
2015-06-30,0.00023333333333333336
2015-07-31,0.00025
2015-08-31,0.00031666666666666665
2015-09-30,0.00030833333333333337
2015-10-31,0.00021666666666666666
2015-11-30,0.00039999999999999996
2015-12-31,0.0005416666666666668
2016-01-31,0.00045000000000000004
2016-02-29,0.00044166666666666665
2016-03-31,0.00055
2016-04-30,0.0004666666666666667
2016-05-31,0.0004916666666666666
2016-06-30,0.0004583333333333334
2016-07-31,0.00042500000000000003
2016-08-31,0.00047499999999999994
2016-09-30,0.0004916666666666666
2016-10-31,0.00055
2016-11-30,0.0006166666666666667
2016-12-31,0.000725
2017-01-31,0.0006916666666666667
2017-02-28,0.0006833333333333332
2017-03-31,0.0008416666666666667
2017-04-30,0.0008666666666666666
2017-05-31,0.0009333333333333334
2017-06-30,0.001
2017-07-31,0.0010166666666666666
2017-08-31,0.001025
2017-09-30,0.0010666666666666667
2017-10-31,0.0011666666666666665
2017-11-30,0.0013000000000000002
2017-12-31,0.0014166666666666668
2018-01-31,0.0015000000000000002
2018-02-28,0.0016333333333333332
2018-03-31,0.0017166666666666667
2018-04-30,0.0017916666666666665
2018-05-31,0.0018916666666666667
2018-06-30,0.0019416666666666668
2018-07-31,0.0019916666666666668
2018-08-31,0.002041666666666667
2018-09-30,0.0021333333333333334
2018-10-31,0.0022083333333333334
2018-11-30,0.0022500000000000003
2018-12-31,0.0022166666666666667
2019-01-31,0.00215
2019-02-28,0.0021249999999999997
2019-03-31,0.002075
2019-04-30,0.0020166666666666666
2019-05-31,0.0019499999999999997
2019-06-30,0.0016666666666666668
2019-07-31,0.0016333333333333332
2019-08-31,0.001475
2019-09-30,0.0015000000000000002
2019-10-31,0.0013416666666666666
2019-11-30,0.0013083333333333334
2019-12-31,0.0012916666666666667
2020-01-31,0.001275
2020-02-29,0.001175
2020-03-31,0.000275
2020-04-30,0.00015
2020-05-31,0.00013333333333333334
2020-06-30,0.00015
2020-07-31,0.000125
2020-08-31,0.00010833333333333333
2020-09-30,0.00010833333333333333
2020-10-31,0.00010833333333333333
2020-11-30,9.999999999999999e-05
2020-12-31,8.333333333333333e-05
2021-01-31,8.333333333333333e-05
