Date,SPY,IWB,IWD,IWF,IWM,IWN,IWO,IJH,IJJ,XLK,XLF,XLV,XLE,XLI,XLY,XLP,XLU,XLB,SHY,IEF,TLT,LQD,AGG,TIP,IYR,VNQ,GLD,IAU,USO
2006-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-31,0.7130316984836218,0.8831243206751793,2.102561335198391,-0.691984868827167,-0.5100636348080562,0.20957386213811527,-1.1029416239730823,0.334927497267638,0.6281097070019307,-1.5716614350856792,0.5091458201311214,-1.1469019117410468,0.5945462051680587,0.17750326811273281,-0.6329773236466534,0.4588286967785926,2.00632805584688,-0.05442978480928603,1.1481318130210705,-1.2943441880614528,-1.196343002638336,-0.8659759301127748,-0.3286751326880914,-1.0107709177524178,0.6412574743207087,,,,
2007-02-28,0.48315327907083355,0.706345103499963,1.8828290618909422,-0.789497321501002,-0.45298526932018784,0.1634945988664621,-1.0129187761064649,0.41250962928739904,0.763509093056161,-1.4830516910673976,0.06716230924686677,-1.3506801749084925,0.49615319483178,0.32543802795668403,-0.8873044977617409,0.0062577484097324715,2.443777372850743,0.006388047457155505,1.45162924124851,-1.1258452754102,-0.9980709889262025,-0.6684768505405904,-0.09047378655051003,-0.9031882950409033,0.5538462194604574,,,,
2007-03-31,0.6724372732178947,0.8941904614960418,1.9535909355861343,-0.5672268774148104,-0.49268192824666535,0.08686276800212385,-0.986724657761563,0.362894579708458,0.7090530055972927,-1.2354921752064012,0.06411084391049628,-0.8944062705282836,0.634767080062249,0.41079715282509266,-0.8881450459562326,0.18721660785878244,2.3688709887378345,0.218674476308034,1.352286502686768,-1.3142208790496503,-1.2611680445450701,-0.9530763800197785,-0.346497646412973,-1.0859703508090461,0.10985757995326545,,,,
2007-04-30,0.5057054446005308,0.6901816106220995,1.8718865847962665,-0.7310165452882604,-0.6259623324928636,-0.08130638284135655,-1.10770627118505,0.19965901908672598,0.5461366387346901,-1.2588878473794833,0.22919711814373503,-1.2003138998480993,0.04990754718522737,0.009399144147419254,-1.181752362846411,-0.3325839032869089,2.381263028875358,-0.016102774827993695,2.034142111436929,-0.8874103593254882,-1.039545341224081,-0.49882294467443317,0.1604086122211379,-0.4442690704236659,0.7277931757939712,,,,
2007-05-31,0.5758222916299073,0.7878657206336857,1.9893590130505885,-0.6439312872727401,-0.5475923300155602,0.0019838296669496065,-1.0203990642359597,0.2909006285153978,0.6126148673638215,-1.21425027636366,0.25372601361650227,-1.0589608633760803,0.2632823202635222,0.10024842453813386,-1.057113792871507,-0.14500363581205053,2.2604194799013886,0.07113779376836579,1.9316550458736592,-1.042937408249074,-1.2262149862891958,-0.6504607939909055,-0.031674888813445407,-0.9608475643415182,0.46037146280978086,,,,
2007-06-30,0.5763966931046477,0.7264101371242425,1.7956590315648056,-0.6108777163151056,-0.5633850115664659,-0.10648972104994833,-0.9717688599897704,0.29923934604702496,0.5100252225801339,-1.1531913371131934,0.02796704430789079,-1.108103664283944,0.44634489677544203,0.1101523211188325,-0.9740338226172618,-0.18835124965930827,1.8598063730670187,0.12030454899716217,2.717784408240307,-0.996369140869537,-1.1960428730779817,-0.5719769045388419,0.004695520454608422,-0.7452846893078169,-0.008910552992946573,,,,
2007-07-31,0.7236533523133728,0.9034635261777785,1.221592938951905,-0.08920150566271424,-0.5700427602001464,-0.46528123741354244,-0.6997790583156261,0.3761055673419025,0.5162453110433485,-0.7434921569014302,-0.9222277206153763,-1.0745827739222438,0.4388299090298651,0.5853307794733987,-1.2014723054645304,0.3630911924567584,1.4464789747553086,0.1711998448583042,3.0448150505186016,-0.8958825349368698,-1.1124734523084812,-0.9778270957022425,0.10340227565496488,-0.5535864968751596,-0.5883596242571467,,,,
2007-08-31,0.7939557591893185,0.9634754459379141,1.2039512526100373,0.10571049353163016,-0.3880000982413737,-0.4616100947747408,-0.46282240609895775,0.4446879951331106,0.4997443757215698,-0.29986418068894893,-0.992955312505808,-1.0566952596808983,0.5271801686843847,0.5429369217282095,-1.1756924547448633,0.3757522401037654,1.2645188675318824,-0.014048174730920213,3.007892918762263,-0.9834258980318356,-1.3095643549034262,-1.0781745202642445,0.022413369223983813,-0.8174620830237087,-0.7119049704683423,,,,
2007-09-30,0.8380263168950813,0.9861129352145818,1.1611084036817507,0.22495498758484736,-0.5915000017258898,-0.6785018001572636,-0.6367347545628905,0.321405323985714,0.3145845437522443,-0.3261928630664406,-0.781247231131309,-0.7063352436479755,0.3602422875246869,0.541901072227347,-1.40572008390957,1.064824001493534,1.2836350096927378,0.019176725535612046,3.040433605283278,-1.039943038687928,-1.3676015788568705,-1.0234449678829238,-0.04121042622348308,-0.6613002592918059,-0.5645003214930573,-0.33217264223400217,,,
2007-10-31,0.8087936683362962,0.942312431439388,0.986134516132158,0.30501383821968614,-0.5466681607423257,-0.6871471525030596,-0.5229869074289566,0.36876573385604566,0.35696353237091766,-0.2922752671096712,-0.9340635856778339,-0.36024870209428356,0.411688570451897,0.3176257851739992,-1.6229664704844817,1.115785978381859,1.2657059591862103,0.2640169700187133,3.032003552712233,-1.0058059150236165,-1.3310374574777804,-1.0318272661860948,-0.025189164079171406,-0.6405269591164459,-0.7184650465195694,-0.4556024818361203,,,
2007-11-30,0.33952070760169956,0.4276812182190993,0.3688728108701687,0.05030632738308414,-0.9482890849859589,-1.1469537956061377,-0.8498427051866903,-0.004946266217938999,-0.105664597284407,-0.7100080677631116,-1.3512676268506856,-0.026939121005439985,0.36171509825768594,0.09720774779375194,-1.7648534722269857,1.4477817986788533,1.381984634744414,-0.02445853357212948,3.232528802194008,0.1245329966665489,-0.36805867523696745,-0.2388142012392121,0.847771283175168,0.17288591990186075,-0.9526024098606201,-0.7477561624960529,0.38766537404598933,,
2007-12-31,0.20209662885443597,0.2782491683165507,0.19869172584190098,-0.022957806733376208,-0.7908350879296313,-0.9868891287103189,-0.6945738367321034,-0.05852256728658237,-0.15761017010495396,-0.46919054477654387,-1.5496062002942206,-0.3344671173781259,0.8458178055448268,0.12804374526249754,-1.884826227572475,1.1356282916615923,1.2865454308349684,0.16411964133664184,3.189637740602532,0.1797771241043212,-0.3504990560359629,-0.3385198223920821,0.807262295670524,0.16247594112029332,-1.0218703460863245,-0.8458388495315987,0.9278612224132187,,
2008-01-31,-0.16653252039207453,-0.0735039387493499,0.04899655244316993,-0.42738778484398887,-0.8803041644449251,-0.9386486469897392,-0.9079637376112881,-0.25030906082088433,-0.26452018219002804,-0.8975770451752758,-1.372150669500293,-0.3997995762921714,0.2591795680306829,-0.05249627729192912,-1.6657700960660522,0.23482453766415753,0.5801494151760045,0.18250899290475942,3.281678944965939,0.46609834753516577,-0.3630234137242838,-0.1302969696977023,1.1138341727170327,0.5685147337476588,-0.6041326620807819,-0.43802691282263345,1.549315135700198,1.5473432578086335,
2008-02-29,-0.31461946434732696,-0.2589207741496567,-0.3002156297580752,-0.39418430129326903,-0.8020108917954202,-0.8899189038715762,-0.8165534706128593,-0.32391141760096387,-0.4211440421808745,-0.8229197633091675,-1.5133017890855163,-0.5399199401968191,0.2674697900318648,-0.10072622034395311,-1.4438454118622985,0.31886289697657655,0.2843874202480421,0.1325369084545662,3.2827869310099174,0.8376358370946785,-0.10760412619182086,0.05375728538574547,1.1249120450149153,0.8264490496428125,-0.6341012145474085,-0.4545573356004478,1.5058082259977772,1.5038483068905633,
2008-03-31,-0.3167428611201954,-0.2730108440179153,-0.2661250171540395,-0.38162759655214945,-0.7877191153335581,-0.8714060369786377,-0.7776362881069196,-0.37858102057510323,-0.4271927686987799,-0.7863536294202355,-1.5665285761982488,-0.8687171142107177,0.1953094258443797,0.010424254880480805,-1.5582641177314926,0.5427001593448771,0.24761392497642878,0.13627224281395256,3.326895198978277,0.979643524041331,-0.012292327057295454,0.1007128580547829,1.3513988551292544,0.7326290918539042,-0.48613694608974317,-0.2796420870269967,1.2038318882581702,1.2105449220961877,
2008-04-30,-0.08460831808953347,-0.028137119436698284,-0.06790696338654235,-0.18474880191780396,-0.6090979459666179,-0.7427739414231745,-0.5799620963265205,-0.023521489019027318,-0.11065535688176206,-0.7189917687258438,-1.7947229750883635,-1.4039193515822033,0.5983039229083106,0.3619640824150145,-1.585279725633627,0.566003943265359,0.2413608724154385,0.8409821615215004,3.233169274853924,0.34295873199722504,-0.6671782642530218,-0.07030234622276857,1.3426903578370168,0.30625964130483735,-0.7563092431608613,-0.48410620633868245,1.051836780302239,1.0266921446321846,
2008-05-31,-0.08154802430110879,-0.026760434306814594,-0.14151948461084035,-0.14964014597428163,-0.5327433580230857,-0.7054938489803458,-0.48498448943759787,0.06068277855585046,-0.0452062681920684,-0.5814326765027433,-1.9918744386063556,-1.1600661480698864,0.7083677802455053,0.3033265059343605,-1.5481776201389579,0.6560028806509272,0.48972558074394806,1.1339532110675785,3.048869956940439,-0.05169923428314399,-0.9548586105718796,-0.4700495351701301,0.7883500222505796,0.295432898480316,-0.704430019702618,-0.48443077750420716,1.3203093499182526,1.3098941495883134,
2008-06-30,-0.3628259670671073,-0.3206151530591996,-0.5265264450674241,-0.20856568163337533,-0.5975386410957758,-0.8694366367003621,-0.40766682659883435,-0.11896413249355005,-0.34980993895354295,-0.48117061456078414,-1.8726866918043785,-0.850848122814788,0.8743540348652838,-0.16822464701829226,-1.4601888980923525,0.4588771256787635,0.5170039854312024,1.043986180325359,3.0140213658626664,0.3676655124613143,-0.43460799766886377,-0.3618169370098736,0.8439277001825549,0.7137511635557324,-0.7957463724336025,-0.5897858476216287,1.4781945157984824,1.4652439675323752,
2008-07-31,-0.4810728201443438,-0.45267504911179524,-0.5709523608398712,-0.42508302030801,-0.5770751427144307,-0.7918954294462242,-0.4696177131735247,-0.3029366608773804,-0.47224864160571156,-0.6168130909958481,-1.5450262479779933,-0.6226236920271736,0.1790714652889093,-0.1869581405804738,-1.539380867789473,0.48708614597994115,0.1382181208799986,0.733338836416522,3.101686010411779,0.7852536396329594,-0.12091635337284215,-0.11320067465302307,1.1877476877208841,1.0565161184737606,-0.7814360462390415,-0.5784846410168057,1.4934912870116557,1.485987281057557,
2008-08-31,-0.4626466589768956,-0.44077138848852715,-0.593467035163639,-0.3865296895390143,-0.48141462406764174,-0.6466282121177628,-0.4076416019609836,-0.2798177769652159,-0.4573349956307787,-0.6647178351371366,-1.8241647254519857,-0.6349060158000445,0.021486950864018643,-0.014320057676956424,-1.3521388813730348,0.8579416049716287,0.030413187014184426,0.9798310946818293,3.2411166680823,0.830685355600332,-0.22909512741343455,-0.3472395550767101,1.27748937098162,1.037247349397663,-0.7483923380461743,-0.49780532510419345,1.0895982954487968,1.1032219669477559,
2008-09-30,-0.6215469084022804,-0.6114931209815276,-0.6266304828086333,-0.597991515522433,-0.4128634435351988,-0.34240214233782645,-0.4820459374239345,-0.4559666009637279,-0.47245017737698997,-0.6827133918648699,-1.4774500922056388,-0.5934610756909028,-0.18832745839756507,-0.34447080295215604,-1.0659528233700164,0.9159881015088567,-0.32030172385399225,0.2317060538991918,3.357200637744422,1.3112903532787792,0.515320590671805,-0.8945295357941632,1.2384075287352068,0.6359068712702718,-0.36123225795647784,-0.14616869318132383,1.2393863285033573,1.2527917190077642,
2008-10-31,-0.6069598662442053,-0.6173885301092482,-0.6060610392406135,-0.623185781487268,-0.4541180874984509,-0.44108027159623864,-0.46741971208316035,-0.5284743630837286,-0.5592453803718859,-0.5295779681365289,-1.3576893957963057,-0.43214463113571816,0.0508573896052586,-0.4066368600287494,-0.9265210831776954,0.3409596911950147,-0.08458262961684124,-0.09032533491273616,3.5361320088585173,1.758295626451182,0.9857841412198803,-0.39345868865451666,1.3126027898139654,0.27112293535790843,-0.5642797811868752,-0.45058799491397145,0.939750948976623,0.9442318677963877,
2008-11-30,-0.6389912072546863,-0.6594590389864114,-0.6303728602885553,-0.6661069893858529,-0.5701405543962986,-0.5412588345886438,-0.5713407998135819,-0.5961036214622948,-0.5944313004624493,-0.5754507138928786,-1.2822240400268134,-0.4287140444050619,0.13276298951139254,-0.48873514979939414,-0.92140309391002,0.38653036023194437,0.18268549383173094,-0.2606131943761943,3.3231369808972806,1.675387821140217,1.1818083618613118,-0.03723430067402359,1.3970075878019979,0.40647744179830936,-0.6583755926103375,-0.5743225274421647,1.0041420463187507,1.0053387803827283,
2008-12-31,-0.6944782585326433,-0.6995154152102087,-0.6742229015921822,-0.6951929109111289,-0.5453699239472368,-0.4973969222828399,-0.5617665547964166,-0.6025300806000511,-0.5860392992767034,-0.5703947731873994,-1.3614581279538758,-0.39710871231123074,-0.05004697592395966,-0.5343776786745634,-0.8392879340508351,0.29508394494439594,0.013436493043890252,-0.4093904319329012,3.3098386479939204,1.6926915977432726,1.2307929987372523,0.3430622247773543,1.3680118085130377,0.5464657805437699,-0.5448132640861706,-0.44493268388068913,0.9546550176308262,0.954284335223316,
2009-01-31,-0.7073350164870369,-0.7020298815797534,-0.7691291396182833,-0.607838871111097,-0.6615433604099503,-0.6610105105402325,-0.6242214746861445,-0.6153755054554342,-0.6306252383773322,-0.49733721685077203,-1.3304949652741873,-0.24182114251867914,-0.0667093146418924,-0.5324678038793557,-0.8348731739463071,0.24026058426433677,0.17054524651890043,-0.39660504671098307,3.263347770676086,1.5906889273911948,0.8893797716750123,0.5056499255876511,1.3707272738520495,0.7535208525812425,-0.5932614912689427,-0.5094052245391141,1.0991986206561057,1.0987654046929172,
2009-02-28,-0.7178791544037403,-0.7083537862891107,-0.7985596189388925,-0.5679501056594936,-0.6540584081275262,-0.6709273639180369,-0.5944416069383438,-0.5729616159252076,-0.6188579869742745,-0.3871608857978639,-1.2959642186811318,-0.36762039585502,0.04387013366859933,-0.6402082554262716,-0.7963982033324561,0.111004075623404,0.008827799913811217,-0.31099974635540495,3.211882602160056,1.6032916825002776,0.9183637156218997,0.41902872634721067,1.337541571459913,0.7486989776008638,-0.6180239066068102,-0.5430950015145632,1.2289134360221527,1.2320375398259602,
2009-03-31,-0.6696429276965895,-0.6683667446379444,-0.7646070679976488,-0.5378461129226177,-0.7210837658579381,-0.7256240842636573,-0.6498164268800196,-0.5738340817599638,-0.642325207323548,-0.3324772776331931,-1.1601280958238145,-0.30617047676914955,-0.08045930202190099,-0.6775897304748156,-0.6500265362162471,0.09201242104511619,0.02837012149549778,-0.24578611583487198,3.2159618728493484,1.7368630465579555,1.0351651393295216,0.3779072944676053,1.3828011819362576,0.9602766744380665,-0.7685541152013821,-0.6803665728992833,1.0124563723373718,1.0128905177578464,
2009-04-30,-0.6788846023610368,-0.6599998742566693,-0.8126194081657493,-0.4922222790226899,-0.641930189827628,-0.6630271923243014,-0.5818694277865895,-0.4999718609618142,-0.5729164896437241,-0.2668891046373773,-1.2173625373733088,-0.40528749195396385,-0.16521711033461522,-0.580696390787987,-0.5003654667335676,0.10686637143340794,-0.09159171124041754,-0.19006500274894672,3.375885475909276,1.8074737751766445,0.9800349054471559,0.45926654520288507,1.6274947640683557,0.9616645048459141,-0.5881894099439767,-0.496757301858089,0.8155514404475335,0.8156934285358483,-0.8440683591045698
